Team,RushYdsAtt,dRushYdsAtt,PassYdsAtt,dPassYdsAtt,oRushPerGame,dRushPerGame,oPassPerGame,dPassPerGame,oYdsPerPoint,dYardsPerPoint,oPtsPerPlay,dPtsPerPlay,oPlays/Game,dPlaysGame,HomeAdv
Arizona Cardinals,4.313,4.395,6.124,6.846,21.588,28.882,41.824,35.471,16.642,13.32,0.296,0.411,66.882,66.118,0.5
Atlanta Falcons,4.473,4.605,6.451,6.384,28.118,27.412,33.765,34.765,22.45,13.425,0.277,0.373,63.412,65.529,0.5
Baltimore Ravens,5.25,4.177,6.989,6.671,29.824,25.529,27.588,38.824,12.857,15.134,0.432,0.354,60.059,66.118,5.5
Buffalo Bills,4.962,5.133,7.318,5.731,32.176,26.529,32.0,29.706,12.426,12.613,0.463,0.409,66.529,58.353,5.5
Carolina Panthers,4.27,4.376,5.975,6.81,27.235,28.176,32.529,31.588,14.205,13.618,0.366,0.398,61.824,61.529,4.5
Chicago Bears,4.844,5.004,6.63,7.098,29.824,26.882,35.412,33.706,13.677,15.062,0.408,0.384,66.647,62.647,5.5
Cincinnati Bengals,4.165,5.208,6.241,7.299,22.471,28.235,40.0,33.647,13.253,15.656,0.385,0.404,64.588,63.941,5.5
Cleveland Browns,3.898,4.166,5.159,5.941,24.882,27.941,35.941,31.882,15.957,12.218,0.257,0.371,63.824,62.941,
Dallas Cowboys,4.594,4.709,7.196,7.598,27.353,26.647,38.706,35.0,14.06,13.346,0.411,0.448,67.882,63.706,4.5
Denver Broncos,4.416,3.87,6.133,5.439,26.882,23.529,37.706,39.0,16.628,14.569,0.325,0.289,65.941,66.529,0.5
Detroit Lions,4.607,4.346,7.354,6.612,26.059,26.353,36.529,35.824,12.905,12.597,0.446,0.416,64.882,65.059,0.5
Green Bay Packers,4.14,4.186,7.394,5.98,28.941,28.118,30.588,34.588,14.815,13.844,0.368,0.353,61.235,64.824,
Houston Texans,3.891,3.982,6.401,5.908,28.0,23.529,36.353,34.706,14.744,14.47,0.339,0.328,66.176,61.0,
Indianapolis Colts,4.524,3.866,7.019,6.67,26.059,26.353,34.235,39.353,12.736,13.203,0.438,0.403,62.0,68.0,0.5
Jacksonville Jaguars,3.984,3.932,6.644,5.853,28.882,21.765,35.647,39.529,12.667,16.596,0.401,0.294,66.941,63.176,5.5
Kansas City Chiefs,4.214,4.011,6.226,6.398,25.294,26.353,37.294,32.059,13.809,15.496,0.367,0.322,65.353,60.471,
Las Vegas Raiders,3.559,3.879,5.706,6.45,21.765,30.118,34.176,33.235,15.291,15.272,0.289,0.343,59.706,65.529,5.5
Los Angeles Chargers,4.426,4.288,6.285,6.004,27.471,24.529,37.0,32.471,17.533,13.45,0.29,0.36,68.0,59.647,
Los Angeles Rams,4.628,4.311,7.58,6.231,27.353,25.706,36.529,37.647,15.352,17.05,0.417,0.293,65.235,66.118,
Miami Dolphins,4.731,4.769,6.388,7.05,25.412,27.765,30.588,32.706,16.839,13.276,0.319,0.421,58.235,62.765,
Minnesota Vikings,4.49,3.989,5.854,6.078,24.118,31.118,32.235,29.235,13.069,16.478,0.354,0.282,59.882,63.235,5.5
New England Patriots,4.417,4.197,8.093,6.227,29.176,24.235,32.412,33.176,16.208,20.998,0.393,0.271,64.412,59.471,5.5
New Orleans Saints,3.668,3.95,6.282,6.224,25.706,30.529,37.706,31.529,15.976,13.112,0.306,0.354,66.294,64.706,
New York Giants,4.287,5.3,6.418,6.601,30.118,27.412,33.941,34.824,16.08,14.206,0.315,0.393,66.882,64.529,0.5
New York Jets,4.566,4.399,4.98,7.088,27.0,31.706,32.882,31.941,14.481,14.945,0.287,0.398,63.412,65.176,5.0
Philadelphia Eagles,4.15,4.273,6.551,5.912,28.176,29.118,31.412,34.588,13.718,16.077,0.369,0.296,61.647,66.176,3.0
Pittsburgh Steelers,4.314,4.243,6.23,6.662,23.941,26.647,34.294,39.176,16.467,17.179,0.34,0.309,60.059,68.647,0.5
San Francisco 49ers,3.778,4.293,7.125,6.771,28.294,25.118,35.647,35.706,13.096,20.206,0.412,0.304,65.529,62.0,5.5
Seattle Seahawks,4.126,3.73,7.967,5.559,29.882,24.647,30.0,38.294,13.281,20.917,0.436,0.228,61.471,65.706,5.5
Tampa Bay Buccaneers,4.108,4.253,6.238,7.113,27.882,23.294,35.412,35.824,14.244,13.473,0.343,0.41,65.529,61.294,0.5
Tennessee Titans,4.204,4.281,5.177,7.565,22.235,26.765,36.824,32.824,15.981,12.881,0.261,0.434,62.353,62.059,
Washington Commanders,4.702,4.755,6.527,7.485,28.647,29.824,30.0,34.353,15.228,14.027,0.344,0.413,60.824,66.647,
